BIShal1,BIpath,fixPath,fixShal1,numLineBI,numLinePrefix,content
30c3c0eb55026bf73c6c6a87fe662ba458f67233,src/java/main/org/apache/zookeeper/server/DataTree.java,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,42ea26b75105484ef0504396332c276952224158,551,950,"                killSession(header.getClientId(), header.getZxid());"
1165794be9587acccc02782dbff95bc482222528,src/java/main/org/apache/zookeeper/server/DataTree.java,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,42ea26b75105484ef0504396332c276952224158,1005,1122,"        Set<String> list = ephemerals.remove(session);"
047d9258a4730791b85cc81b0e1435465a32acbf,zookeeper/java/src/com/yahoo/zookeeper/server/DataTree.java,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,42ea26b75105484ef0504396332c276952224158,409,1123,"        if (list != null) {"
047d9258a4730791b85cc81b0e1435465a32acbf,zookeeper/java/src/com/yahoo/zookeeper/server/DataTree.java,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,42ea26b75105484ef0504396332c276952224158,410,1124,"            for (String path : list) {"
fe940cdd8fb23ba09684cefb73233d570f4a20fa,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,42ea26b75105484ef0504396332c276952224158,1116,1128,"                        LOG.debug(""Deleting ephemeral node "" + path + "" for session 0x"" + Long.toHexString(session));"
fe940cdd8fb23ba09684cefb73233d570f4a20fa,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,42ea26b75105484ef0504396332c276952224158,1119,1131,"                    LOG.warn(""Ignoring NoNodeException for path """
fe940cdd8fb23ba09684cefb73233d570f4a20fa,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,42ea26b75105484ef0504396332c276952224158,1120,1132,"                             + path"
c6639c9842973a7954c8baa412d6825cb833d51f,src/java/main/org/apache/zookeeper/server/DataTree.java,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,42ea26b75105484ef0504396332c276952224158,601,1133,"                             + "" while removing ephemeral for dead session 0x"""
a6bc7d54791e73b06083996ab57fdba9340ae1aa,zookeeper/java/src/com/yahoo/zookeeper/server/DataTree.java,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,42ea26b75105484ef0504396332c276952224158,431,1134,"                             + Long.toHexString(session));"
047d9258a4730791b85cc81b0e1435465a32acbf,zookeeper/java/src/com/yahoo/zookeeper/server/DataTree.java,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTree.java,42ea26b75105484ef0504396332c276952224158,418,1135,"                }"
