index,path_before,path_BIC,sha_before,sha_BIC,path_fix,sha_fix,key
lucene-solr482,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,ca4e8437160634c0dd63672fbe2a9b30ba43aba0,0679c7a88f2e0518d8fd9334d910259bca8a9130,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,c64a01158e972176256e257d6c1d4629b05783a2,0679c7a88f2e0518d8fd9334d910259bca8a9130lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.javaca4e8437160634c0dd63672fbe2a9b30ba43aba0lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.javac64a01158e972176256e257d6c1d4629b05783a2lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java
lucene-solr483,contrib/analyzers/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,modules/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,1a48e218d62b995acc0fe6b61f7cd2c45e3ac364,ad0e49591148340418569d7c650761a6d41cf1b1,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,c64a01158e972176256e257d6c1d4629b05783a2,ad0e49591148340418569d7c650761a6d41cf1b1modules/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java1a48e218d62b995acc0fe6b61f7cd2c45e3ac364contrib/analyzers/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.javac64a01158e972176256e257d6c1d4629b05783a2lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java
lucene-solr484,contrib/analyzers/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,1a48e218d62b995acc0fe6b61f7cd2c45e3ac364,0679c7a88f2e0518d8fd9334d910259bca8a9130,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,c64a01158e972176256e257d6c1d4629b05783a2,0679c7a88f2e0518d8fd9334d910259bca8a9130lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java1a48e218d62b995acc0fe6b61f7cd2c45e3ac364contrib/analyzers/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.javac64a01158e972176256e257d6c1d4629b05783a2lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java
lucene-solr485,contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,1743081b078a3206e676bdd4ebe9203f5bad6c90,0679c7a88f2e0518d8fd9334d910259bca8a9130,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,c64a01158e972176256e257d6c1d4629b05783a2,0679c7a88f2e0518d8fd9334d910259bca8a9130lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java1743081b078a3206e676bdd4ebe9203f5bad6c90contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.javac64a01158e972176256e257d6c1d4629b05783a2lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java
lucene-solr486,contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,1743081b078a3206e676bdd4ebe9203f5bad6c90,3f722b66a55ace117de6458f5b7d52f5bbc20c62,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,c64a01158e972176256e257d6c1d4629b05783a2,3f722b66a55ace117de6458f5b7d52f5bbc20c62contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java1743081b078a3206e676bdd4ebe9203f5bad6c90contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.javac64a01158e972176256e257d6c1d4629b05783a2lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java
lucene-solr487,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,cc12d7e65955a1f869c62dd38bc3326bfa302b6d,0679c7a88f2e0518d8fd9334d910259bca8a9130,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,c64a01158e972176256e257d6c1d4629b05783a2,0679c7a88f2e0518d8fd9334d910259bca8a9130lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.javacc12d7e65955a1f869c62dd38bc3326bfa302b6dlucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.javac64a01158e972176256e257d6c1d4629b05783a2lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java
lucene-solr488,contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,5abaff61fa4eac85448e2840c0a3d494105af70d,a03e38d5d05008aaef969a200071c03a1d6cb991,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,c64a01158e972176256e257d6c1d4629b05783a2,a03e38d5d05008aaef969a200071c03a1d6cb991lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java5abaff61fa4eac85448e2840c0a3d494105af70dcontrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.javac64a01158e972176256e257d6c1d4629b05783a2lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java
lucene-solr489,contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,1743081b078a3206e676bdd4ebe9203f5bad6c90,5abaff61fa4eac85448e2840c0a3d494105af70d,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,c64a01158e972176256e257d6c1d4629b05783a2,5abaff61fa4eac85448e2840c0a3d494105af70dcontrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java1743081b078a3206e676bdd4ebe9203f5bad6c90contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.javac64a01158e972176256e257d6c1d4629b05783a2lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java
lucene-solr490,modules/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,7dc025bdced2de84d6dcdc9e34589429e00fbcbd,a03e38d5d05008aaef969a200071c03a1d6cb991,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,c64a01158e972176256e257d6c1d4629b05783a2,a03e38d5d05008aaef969a200071c03a1d6cb991lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java7dc025bdced2de84d6dcdc9e34589429e00fbcbdmodules/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.javac64a01158e972176256e257d6c1d4629b05783a2lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java
lucene-solr491,modules/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,ad0e49591148340418569d7c650761a6d41cf1b1,a03e38d5d05008aaef969a200071c03a1d6cb991,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,c64a01158e972176256e257d6c1d4629b05783a2,a03e38d5d05008aaef969a200071c03a1d6cb991lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.javaad0e49591148340418569d7c650761a6d41cf1b1modules/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.javac64a01158e972176256e257d6c1d4629b05783a2lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java
