matches,deletes,inserts,moves,updates
1263,638,763,69,19
1839,206,4242,129,19
88,0,0,0,3
1098,475,3380,128,39
4337,119,314,38,18
1945,113,315,51,36
3063,6,125,2,1
743,0,6,1,6
793,6,43,8,4
793,6,43,6,4
731,12,68,6,14
2753,380,2919,90,18
368,21,177,12,9
283,52,121,28,19
285,4,843,22,4
1471,72,421,14,1
278,71,1743,26,25
3583,7,27,0,12
3515,7,85,3,0
2794,315,1716,155,21
2080,183,1082,92,33
489,530,141,38,40
1186,387,1808,84,43
2868,85,1827,87,42
1656,316,615,87,61
2798,30,168,17,9
1169,937,1078,146,45
1503,603,487,122,69
725,1381,2275,156,26
1258,848,793,125,62
738,0,71,4,2
1083,7,14,3,1
1070,79,22,9,12
1686,2370,2648,259,44
3492,221,2254,71,59
1699,232,978,135,49
1706,89,356,38,11
1087,814,4709,149,16
183,0,5,0,0
420,1,7,2,3
1585,100,500,36,18
1622,87,463,26,13
1425,60,278,32,27
1591,94,332,27,22
1327,28,358,7,5
1327,28,390,7,5
1685,2371,2634,250,42
2524,59,121,15,1
1224,677,1840,132,28
1868,2006,382,75,10
1819,2055,605,95,27
1089,238,2970,95,16
462,4,44,0,0
2752,688,4474,228,56
1046,83,418,50,13
1124,5,7,0,4
1087,42,41,14,6
1077,43,389,34,4
2862,1541,2294,256,75
3673,5,53,0,1
3184,1408,1986,229,94
4025,1660,1132,152,49
4041,1644,1345,169,55
5016,33,251,20,7
5036,13,242,15,0
1390,102,1082,69,41
1877,30,210,28,6
2019,47,519,21,6
2299,107,378,74,39
941,629,1732,126,38
980,2,151,13,31
1460,45,83,19,8
1652,602,1846,67,26
1567,2307,2328,201,41
152,30,60,4,3
1163,410,1816,91,40
2177,75,90,6,31
1866,192,417,67,61
1288,285,1112,72,52
133,0,0,0,3
3081,52,652,24,6
2215,91,926,27,7
1235,666,1089,83,24
5405,15,522,36,7
2064,293,3815,114,55
916,66,813,96,49
892,37,90,6,16
1523,50,319,10,2
